date	avg_temp	max_temp	min_temp	supply_mj	supply_m3
2014-06-02	22.8	26	17.7	77697186	1806304
2014-06-03	20.4	23.1	17.7	83801449	1945388
2014-06-04	21	23.3	19	78410655	1821627
2014-06-05	20	22	18.7	82189580	1912960
2014-06-06	22.1	27.5	17.9	76962652	1789002
2014-06-07	21.3	29.6	15.4	71797620	1665290
2014-06-08	21.1	26.5	18.8	56855511	1316703
2014-06-09	21.4	25.6	19.1	78328486	1814918
2014-06-10	21	23.6	19.1	84969108	1966845
2014-06-11	21.4	26	18.3	86487326	2000655
2014-06-12	18.7	22.4	16.8	88295315	2042170
2014-06-13	22.6	28.8	17.9	87352083	2021614
2014-06-14	25.1	32.1	18.2	74065567	1715549
2014-06-15	25.9	32	20.2	57504999	1333179
2014-06-16	26.7	32	21.7	80194251	1858680
2014-06-17	23.9	26.9	21.3	84079400	1953084
2014-06-18	24.5	30.4	19.6	84472507	1961017
2014-06-19	25.9	32	18.9	83768244	1943597
2014-06-20	23.2	27.9	20.4	83416353	1932987
2014-06-21	21.3	23.9	19.9	73375293	1703361
2014-06-22	21.9	26.3	18.3	56787274	1319207
2014-06-23	21.6	27.9	18	81484395	1895345
2014-06-24	22.9	28.7	18.2	86715445	2014531
2014-06-25	24.9	30.8	19.7	84876890	1972228
2014-06-26	26.3	33.2	21.2	89675320	2084959
2014-06-27	27	33.4	20.8	85052695	1975083
2014-06-28	27.1	32.5	22.5	71583673	1656214
2014-06-29	25.7	31.1	21.7	55466803	1282851
2014-06-30	25.5	32.5	21.4	78265685	1810884
2014-07-01	26.5	34.7	21.7	82871339	1916416
